date,spy_close,vix,hyg,dxy,gold,copper,eem,skew,composite_score,flow_regime,regime_signal,return_5d,return_10d,return_20d
1995-10-17,58.734375,14.029999732971191,,83.91999816894531,,,,121.63999938964844,4.9,mild_risk_on,HOLD,0.05,-0.72,0.59
1995-10-18,58.90625,14.050000190734863,,84.33000183105469,,,,120.11000061035156,4.9,mild_risk_on,HOLD,-1.06,-0.21,1.3
1995-10-19,59.1875,13.550000190734863,,83.76000213623047,,,,121.68000030517578,6.1,risk_on,STRONG_HOLD,-2.43,-0.05,1.37
1995-10-20,58.828125,13.460000038146973,,83.51000213623047,,,,119.72000122070312,6.1,risk_on,STRONG_HOLD,-1.09,0.69,2.31
1995-10-23,58.703125,14.170000076293945,,83.19999694824219,,,,117.77999877929688,4.9,mild_risk_on,HOLD,-0.24,0.56,2.0
1995-10-24,58.765625,13.850000381469727,,83.37999725341797,,,,117.08999633789062,6.1,risk_on,STRONG_HOLD,-0.77,0.08,2.71
1995-10-25,58.28125,14.489999771118164,,83.44000244140625,,,,116.36000061035156,4.9,mild_risk_on,HOLD,0.86,1.82,3.24
1995-10-26,57.75,15.59000015258789,,83.27999877929688,,,,115.43000030517578,4.9,mild_risk_on,HOLD,2.44,3.14,4.46
1995-10-27,58.1875,14.630000114440918,,83.77999877929688,,,,116.83000183105469,4.9,mild_risk_on,HOLD,1.8,2.31,3.71
1995-10-30,58.5625,14.260000228881836,,83.83000183105469,,,,114.0999984741211,4.9,mild_risk_on,HOLD,0.8,1.55,4.14
1995-10-31,58.3125,13.829999923706055,,83.66000366210938,,,,112.63999938964844,6.1,risk_on,STRONG_HOLD,0.86,1.31,4.69
1995-11-01,58.78125,13.40999984741211,,84.02999877929688,,,,113.55999755859375,6.1,risk_on,STRONG_HOLD,0.96,1.52,3.62
1995-11-02,59.15625,13.1899995803833,,84.30000305175781,,,,113.37999725341797,6.1,risk_on,STRONG_HOLD,0.69,1.43,3.09
1995-11-03,59.234375,12.260000228881836,,84.12000274658203,,,,111.61000061035156,6.1,risk_on,STRONG_HOLD,0.5,1.61,4.22
1995-11-06,59.03125,12.739999771118164,,84.05000305175781,,,,113.16000366210938,6.1,risk_on,STRONG_HOLD,0.74,1.43,5.27
1995-11-07,58.8125,13.050000190734863,,84.11000061035156,,,,112.31999969482422,6.1,risk_on,STRONG_HOLD,0.45,2.63,5.9
1995-11-08,59.34375,12.15999984741211,,84.11000061035156,,,,112.75,6.1,risk_on,STRONG_HOLD,0.55,1.4,4.4
1995-11-09,59.5625,12.460000038146973,,83.4800033569336,,,,112.44999694824219,6.1,risk_on,STRONG_HOLD,0.73,1.29,4.35
1995-11-10,59.53125,12.970000267028809,,83.83999633789062,,,,114.36000061035156,6.1,risk_on,STRONG_HOLD,1.1,1.36,4.86
1995-11-13,59.46875,13.199999809265137,,84.16000366210938,,,,113.5999984741211,6.1,risk_on,STRONG_HOLD,0.68,2.55,4.65
1995-11-14,59.078125,13.380000114440918,,83.98999786376953,,,,112.77999877929688,6.1,risk_on,STRONG_HOLD,2.17,3.33,6.0
1995-11-15,59.671875,12.949999809265137,,83.62999725341797,,,,112.4800033569336,6.1,risk_on,STRONG_HOLD,0.84,2.07,4.19
1995-11-16,60.0,12.569999694824219,,83.83000183105469,,,,113.19999694824219,6.1,risk_on,STRONG_HOLD,0.55,1.64,3.02
1995-11-17,60.1875,12.489999771118164,,83.7699966430664,,,,115.37999725341797,6.1,risk_on,STRONG_HOLD,0.26,2.57,0.73
1995-11-20,59.875,12.369999885559082,,83.61000061035156,,,,115.05999755859375,6.1,risk_on,STRONG_HOLD,1.85,3.78,2.32
1995-11-21,60.359375,11.739999771118164,,83.68000030517578,,,,115.81999969482422,6.1,risk_on,STRONG_HOLD,1.14,3.18,0.52
1995-11-22,60.171875,11.8100004196167,,83.54000091552734,,,,116.66000366210938,6.1,risk_on,STRONG_HOLD,1.22,2.96,1.35
1995-11-24,60.328125,11.869999885559082,,83.9800033569336,,,,115.95999908447266,6.1,risk_on,STRONG_HOLD,1.09,3.03,1.45
1995-11-27,60.34375,12.430000305175781,,84.54000091552734,,,,117.5,6.1,risk_on,STRONG_HOLD,2.3,3.44,1.92
1995-11-28,60.984375,11.569999694824219,,84.5,,,,119.05999755859375,6.1,risk_on,STRONG_HOLD,1.9,2.05,0.79
1995-11-29,61.046875,11.649999618530273,,84.79000091552734,,,,118.62000274658203,6.1,risk_on,STRONG_HOLD,2.02,2.59,0.59
1995-11-30,60.90625,11.579999923706055,,85.26000213623047,,,,117.29000091552734,6.1,risk_on,STRONG_HOLD,1.72,2.08,0.95
