date,ticker,spot_price,net_gex_b,vix,zero_gamma,call_wall,put_wall,peak_gex_strike,max_pain,pc_ratio,spy_200ma,spy_above_200ma,spy_rsi_14,vix_3m,vix_term_spread,vix_term_structure,skew_index,fear_score,bull_score,bear_score,score_label,qqq_spot,qqq_gex_b,qqq_fear_score,qqq_bear_score,qqq_bull_score,qqq_divergence,signal,l1_context,yield_10y,vix9d,vix9d_vix_ratio,gold,dxy,tlt,hyg,copper,oil,eem,xlre,flow_regime,flow_score,regime_signal,composite_score
2026-03-30,SPY,629.35,-3.5,25.35,,,,,,,661.79,False,22.8,29.13,-1.48,backwardation,142.23,6,0,,Fear building — watch for entry,558.28,,,,,Aligned — no divergence,RED Watch - GEX deeply neg,SPY BELOW 200MA (downtrend warning) | RSI oversold (22.8) | VIX in backwardation (stress elevated) | SKEW elevated (142.23) - tail hedging active,4.342,30.57,1.206,414.58,100.51,86.78,78.81,33.59,129.83,54.75,40.21,mild_risk_on,1,,
2026-04-01,SPY,624.0,-3.2,24.54,,,,,,,662.31,False,44.32,24.86,0.32,contango,143.77,4,1,,Moderate fear — monitor,584.31,,,,,Aligned — no divergence,RED Watch - GEX deeply neg,SPY BELOW 200MA (downtrend warning) | RSI neutral (44.32) | VIX in contango (calm) | SKEW elevated (143.77) - tail hedging active,4.319,23.61,0.962,437.82,99.65,86.26,79.37,34.34,124.09,57.23,40.95,mild_risk_on,2,,
2026-04-02,SPY,624.0,-3.0,23.87,,,,,,,662.58,False,46.49,24.72,0.85,contango,146.95,5,2,,Moderate fear — monitor,584.98,,,,,Aligned — no divergence,RED Watch - GEX deeply neg,SPY BELOW 200MA (downtrend warning) | RSI neutral (46.49) | VIX in contango (calm) | SKEW elevated (146.95) - tail hedging active,4.313,21.71,0.91,429.41,100.03,86.79,79.56,34.37,137.92,56.59,41.61,mild_risk_on,2,,
2026-04-06,SPY,628.0,-2.8,24.17,,,,,,,662.88,False,44.29,24.77,0.6,contango,147.6,5,1,,Moderate fear — monitor,588.5,,,,,Aligned — no divergence,RED Watch - GEX deeply neg,SPY BELOW 200MA (downtrend warning) | RSI neutral (44.29) | VIX in contango (calm) | SKEW elevated (147.6) - tail hedging active,4.335,23.9,0.989,427.65,99.98,86.65,79.7,34.3,138.94,57.11,41.76,mild_risk_on,2,,
2026-04-07,SPY,659.30,-3.5,25.78,,,,,,,663.19,False,43.35,25.57,-0.21,backwardation,148.45,6,0,,Fear building — watch for entry,588.59,,,,,Aligned — no divergence,RED EXIT - neg GEX + VIX elevated,SPY BELOW 200MA (downtrend warning) | RSI neutral (43.35) | VIX in backwardation (stress elevated) | SKEW elevated (148.45) - tail hedging active,4.343,27.27,1.058,431.81,99.86,86.64,79.72,34.08,138.08,57.31,41.72,mild_risk_on,1,,
2026-04-08,SPY,672.0,4.0,21.04,,,,,,,663.6,True,57.72,22.68,1.64,contango,150.36,2,5,,Mild bull — neutral,606.09,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI neutral (57.72) | VIX in contango (calm) | SKEW elevated (150.36) - tail hedging active,4.291,19.16,0.911,434.53,99.13,86.92,80.19,35.25,124.58,60.44,42.44,mild_risk_on,2,,
2026-04-09,SPY,681.0,7.0,19.49,,,,,,,664.0,True,60.4,21.81,2.32,contango,143.27,1,6,,Positive regime — hold,610.19,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI neutral (60.4) | VIX in contango (calm) | SKEW elevated (143.27) - tail hedging active,4.293,16.81,0.862,437.91,98.82,86.7,80.28,35.21,126.96,60.28,42.73,risk_on,4,,
2026-04-10,SPY,687.0,8.5,19.23,,,,,,,664.36,True,67.98,21.86,2.63,contango,144.18,1,6,,Positive regime — hold,611.07,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI neutral (67.98) | VIX in contango (calm) | SKEW elevated (144.18) - tail hedging active,4.317,16.36,0.851,437.13,98.65,86.49,79.96,35.87,124.82,60.56,42.82,risk_on,4,,
2026-04-13,SPY,692.0,9.8,19.12,,,,,,,664.76,True,67.92,21.34,2.22,contango,156.93,2,6,,Positive regime — hold,617.39,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI neutral (67.92) | VIX in contango (calm) | SKEW elevated (156.93) - tail hedging active,4.297,17.33,0.906,435.36,98.37,86.75,80.26,36.79,128.47,61.07,43.02,risk_on,4,,
2026-04-14,SPY,694.49,11.26,18.36,680.91,695.0,650.0,695.0,674.0,2.06,665.17,True,72.46,20.82,2.46,contango,149.94,2,6,,Positive regime — hold,628.6,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI overbought (72.46) | VIX in contango (calm) | SKEW elevated (149.94) - tail hedging active,4.256,16.7,0.91,445.09,98.12,87.21,80.5,37.26,123.85,62.24,43.43,risk_on,4,,
2026-04-15,SPY,700.64,16.86,18.17,684.05,710.0,650.0,700.0,677.0,2.11,665.6,True,73.0,20.78,2.61,contango,139.23,1,6,,Positive regime — hold,637.4,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI overbought (73.0) | VIX in contango (calm) | SKEW elevated (139.23) - tail hedging active,4.282,16.01,0.881,440.46,98.06,86.83,80.46,37.26,122.59,62.2,43.41,risk_on,4,,
