date,hist_regime,vix,vix9d,yield10y,gold,tlt,hyg,copper,oil,eem,xlre,composite_score,flow_regime,skew
2021-08-17,bull_2021,17.91,,,166.97,148.85,87.29,25.8,46.58,50.32,46.88,6,risk_on,149.05
2021-08-18,bull_2021,21.57,,,167.1,149.35,87.09,25.15,45.4,50.4,46.39,5,risk_on,148.54
2021-08-19,bull_2021,21.67,,,166.61,150.45,87.08,24.72,44.77,49.54,46.78,5,risk_on,151.19
2021-08-20,bull_2021,18.56,,,166.7,150.55,87.29,25.3,43.43,49.5,47.0,5,risk_on,153.51
2021-08-23,bull_2021,17.15,,,168.73,150.45,87.56,25.72,45.85,50.25,46.82,6,risk_on,159.02
2021-08-24,bull_2021,17.22,,,168.65,149.28,87.68,26.0,47.37,51.39,46.47,6,risk_on,157.13
2021-08-25,bull_2021,16.79,,,167.48,148.04,87.77,26.22,47.81,51.45,46.42,6,risk_on,159.51
2021-08-26,bull_2021,18.84,,,167.67,148.45,87.72,25.96,47.48,50.96,46.45,5,risk_on,157.25
2021-08-27,bull_2021,16.39,,,170.19,149.46,87.96,26.575,48.15,51.59,46.83,6,risk_on,162.43
2021-08-30,bull_2021,16.19,,,169.35,149.85,88.07,26.81,48.4,51.7,47.4,6,risk_on,157.99
2021-08-31,bull_2021,16.48,,,169.69,148.83,88.09,26.7,48.04,52.41,47.68,6,risk_on,155.91
2021-09-01,bull_2021,16.11,,,169.7,148.89,87.89,26.18,47.93,53.08,48.5,6,risk_on,154.75
2021-09-02,bull_2021,16.41,,,169.25,149.54,88.0,26.35,48.95,52.84,48.73,6,risk_on,156.98
2021-09-03,bull_2021,16.41,,,171.06,148.18,88.01,26.46,48.66,53.12,48.73,6,risk_on,162.27
2021-09-07,bull_2021,18.14,,,167.71,146.93,87.78,26.11,48.04,53.43,48.19,5,risk_on,154.76
2021-09-08,bull_2021,17.96,,,167.29,147.93,87.88,25.87,48.59,52.65,48.48,6,risk_on,153.39
2021-09-09,bull_2021,18.8,,,168.03,149.72,87.96,26.16,47.75,52.55,47.45,5,risk_on,149.97
2021-09-10,bull_2021,20.95,,,167.18,148.4,87.83,27.1,48.8,52.49,46.85,5,risk_on,151.16
2021-09-13,bull_2021,19.37,,,167.74,149.3,88.05,26.69,49.48,52.63,47.11,5,risk_on,148.5
2021-09-14,bull_2021,19.46,,,168.82,151.11,88.01,26.39,49.31,52.19,47.01,5,risk_on,146.73
2021-09-15,bull_2021,18.18,,,167.83,150.58,88.14,27.0,50.69,52.18,47.19,5,risk_on,154.33
2021-09-16,bull_2021,18.69,,,164.03,149.89,88.11,26.11,50.7,51.59,47.28,5,risk_on,152.88
2021-09-17,bull_2021,20.81,,,163.77,149.17,88.0,26.06,50.32,51.37,46.85,5,risk_on,149.52
2021-09-20,bull_2021,25.71,,,164.94,151.02,87.69,25.22,49.6,49.99,46.27,3,mild_risk_on,141.57
2021-09-21,bull_2021,24.36,,,166.04,150.89,87.84,25.26,49.58,50.36,46.28,3,mild_risk_on,139.98
2021-09-22,bull_2021,20.87,,,165.42,151.79,88.0,25.8,50.48,50.99,46.67,5,risk_on,144.12
2021-09-23,bull_2021,18.63,,,163.51,148.36,88.04,25.85,51.38,51.39,46.44,5,risk_on,146.87
2021-09-24,bull_2021,17.75,,,163.3,146.91,87.91,26.18,51.82,50.78,45.91,6,risk_on,145.67
2021-09-27,bull_2021,18.76,,,163.64,146.37,87.83,26.17,52.91,51.11,45.15,5,risk_on,144.66
2021-09-28,bull_2021,23.25,,,162.05,144.09,87.43,26.01,52.4,50.45,44.88,3,mild_risk_on,140.08
2021-09-29,bull_2021,22.56,,,161.32,144.34,87.59,25.5,52.32,49.98,45.17,3,mild_risk_on,137.99
2021-09-30,bull_2021,23.14,,,164.22,144.32,87.49,25.05,52.56,50.38,44.45,3,mild_risk_on,135.55
2021-10-01,bull_2021,21.15,,,164.59,145.35,87.41,25.74,53.26,50.33,44.93,5,risk_on,135.05
2021-10-04,bull_2021,22.96,,,165.36,144.98,87.1,25.87,54.49,49.59,44.98,3,mild_risk_on,130.87
2021-10-05,bull_2021,21.3,,,164.59,143.58,87.06,25.58,55.63,49.94,44.63,5,risk_on,131.68
2021-10-06,bull_2021,21.0,,,165.03,144.39,87.01,25.5,54.16,49.66,45.06,5,risk_on,131.51
