date,ticker,spot_price,rsi_14,ma_200,above_200ma,rsi_pct,iv_pct,pc_pct,iv_current,pc_ratio,gex_b,gex_regime,zero_gamma,call_wall,put_wall,opportunity_score,signal,signal_detail
2026-03-30,AAPL,246.63,27.96,248.29,False,9.5,,,,,,,,,,3,NEUTRAL — mild dip in own history,"RSI extremely oversold vs own history (bottom 10%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-30,AMZN,200.95,36.66,224.61,False,18.3,,,,,,,,,,2,NEUTRAL — mild dip in own history,"RSI very oversold vs own history (bottom 18%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-30,GOOGL,273.5,20.7,263.23,True,2.8,,,,,,,,,,4,WATCH — price-based setup (options data from today forward),RSI extremely oversold vs own history (bottom 3%) | Above 200MA — uptrend intact [price-based only]
2026-03-30,META,536.38,19.48,686.81,False,2.3,,,,,,,,,,3,NEUTRAL — mild dip in own history,"RSI extremely oversold vs own history (bottom 2%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-30,MSFT,358.96,12.4,478.51,False,0.9,,,,,,,,,,3,NEUTRAL — mild dip in own history,"RSI extremely oversold vs own history (bottom 1%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-30,NVDA,165.17,26.04,179.34,False,1.4,,,,,,,,,,3,NEUTRAL — mild dip in own history,"RSI extremely oversold vs own history (bottom 1%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-30,TSLA,355.28,30.59,396.22,False,9.3,,,,,,,,,,3,NEUTRAL — mild dip in own history,"RSI extremely oversold vs own history (bottom 9%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-31,AAPL,253.79,41.08,248.56,True,29.8,,,,,,,,,,2,NEUTRAL — mild dip in own history,RSI oversold vs own history (bottom 30%) | Above 200MA — uptrend intact [price-based only]
2026-03-31,AMZN,208.27,46.07,224.59,False,38.1,,,,,,,,,,0,NO SIGNAL — not oversold vs own history,"Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-31,GOOGL,287.56,34.82,263.79,True,13.4,,,,,,,,,,3,NEUTRAL — mild dip in own history,RSI very oversold vs own history (bottom 13%) | Above 200MA — uptrend intact [price-based only]
2026-03-31,META,572.13,31.84,686.21,False,14.1,,,,,,,,,,2,NEUTRAL — mild dip in own history,"RSI very oversold vs own history (bottom 14%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-31,MSFT,370.17,26.09,477.97,False,7.9,,,,,,,,,,3,NEUTRAL — mild dip in own history,"RSI extremely oversold vs own history (bottom 8%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-31,NVDA,174.4,38.1,179.49,False,13.9,,,,,,,,,,2,NEUTRAL — mild dip in own history,"RSI very oversold vs own history (bottom 14%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-03-31,TSLA,371.75,35.11,396.48,False,14.8,,,,,,,,,,2,NEUTRAL — mild dip in own history,"RSI very oversold vs own history (bottom 15%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-01,AAPL,255.63,49.82,248.86,True,44.0,,,,,,,,,,1,NO SIGNAL — not oversold vs own history,Above 200MA — uptrend intact [price-based only]
