date,vix,vix9d,vix9d_ratio,yield10y,gold,dxy,tlt,hyg,copper,oil,eem,xlre,skew,gex_b,spy_rsi,credit_score,vol_score,flow_score,growth_score,skew_score,composite_score,flow_regime,hyg_5d_change,vix_term_signal,skew_signal,gex_signal,regime_signal,black_swan_watch,black_swan_reasons,brief
2026-03-30,25.35,30.57,1.206,4.342,414.58,100.51,86.78,78.81,33.59,129.83,54.75,40.21,142.23,-3.5,22.8,1,-3,0,1,0,-1.1,recession_fear,,backwardation,elevated,mildly_negative,CAUTION,False,VIX backwardation,"CAUTION — composite -1.1/8, HYG $78.81, VIX 25.4"
2026-04-01,24.54,23.61,0.962,4.319,437.82,99.65,86.26,79.37,34.34,124.09,57.23,40.95,143.77,-3.2,44.32,2,0,2,2,0,7.0,risk_on,,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +7.0/8, HYG $79.37, VIX 24.5"
2026-04-02,23.87,21.71,0.91,4.313,429.41,100.03,86.79,79.56,34.37,137.92,56.59,41.61,146.95,-3.0,46.49,2,0,0,2,0,5.0,mild_risk_on,,contango,panic_buy,mildly_negative,HOLD,False,,"HOLD — composite +5.0/8, HYG $79.56, VIX 23.9"
2026-04-06,24.17,23.9,0.989,4.335,427.65,99.98,86.65,79.7,34.3,138.94,57.11,41.76,147.6,-2.8,44.29,2,0,2,2,0,7.0,risk_on,,contango,panic_buy,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +7.0/8, HYG $79.70, VIX 24.2"
2026-04-07,25.78,27.27,1.058,4.343,431.81,99.86,86.64,79.72,34.08,138.08,57.31,41.72,148.45,-3.5,43.35,2,-2,2,2,1,5.6,mild_risk_on,,backwardation,panic_buy,mildly_negative,HOLD,False,VIX backwardation,"HOLD — composite +5.6/8, HYG $79.72, VIX 25.8"
2026-04-08,21.04,19.16,0.911,4.291,434.53,99.13,86.92,80.19,35.25,124.58,60.44,42.44,150.36,4.0,57.72,2,0,2,2,1,8,risk_on,1.38,contango,panic_buy,mildly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.19, VIX 21.0"
2026-04-09,19.49,16.81,0.862,4.293,437.91,98.82,86.7,80.28,35.21,126.96,60.28,42.73,143.27,7.0,60.4,2,1,2,2,0,8,risk_on,0.91,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.28, VIX 19.5"
2026-04-10,19.23,16.36,0.851,4.317,437.13,98.65,86.49,79.96,35.87,124.82,60.56,42.82,144.18,8.5,67.98,2,1,2,2,0,8,risk_on,0.4,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.96, VIX 19.2"
2026-04-13,19.12,17.33,0.906,4.297,435.36,98.37,86.75,80.26,36.79,128.47,61.07,43.02,156.93,9.8,67.92,2,1,2,2,0,8,risk_on,0.56,contango,black_swan_watch,positive,STRONG_HOLD,False,SKEW 157 while VIX 19.1 low,"STRONG_HOLD — composite +8.0/8, HYG $80.26, VIX 19.1"
2026-04-14,18.36,16.7,0.91,4.256,445.09,98.12,87.21,80.5,37.26,123.85,62.24,43.43,149.94,11.26,72.46,2,1,2,2,0,8,risk_on,0.78,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.50, VIX 18.4"
2026-04-15,18.17,16.01,0.881,4.282,440.46,98.06,86.83,80.46,37.26,122.59,62.2,43.41,139.23,16.86,73.0,2,1,2,2,0,8,risk_on,0.27,contango,elevated,strongly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.46, VIX 18.2"
2026-04-16,17.94,15.46,0.862,4.309,440.08,98.22,86.28,80.35,36.94,125.84,62.45,43.81,140.74,11.05,83.79,2,1,2,2,0,8,risk_on,0.07,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.35, VIX 17.9"
2026-04-17,17.48,14.81,0.847,4.246,445.93,98.1,87.07,80.65,37.29,116.04,63.64,44.48,141.82,11.05,96.83,2,3,2,2,0,8,risk_on,0.69,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.65, VIX 17.5"
2026-04-20,18.87,17.79,0.943,4.25,445.93,98.1,87.05,80.65,37.01,121.32,63.18,44.64,141.9,0.82,97.68,2,1,2,2,0,8,risk_on,0.39,contango,elevated,mildly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.65, VIX 18.9"
2026-04-21,19.5,18.68,0.958,4.292,429.57,98.39,86.57,80.37,36.56,128.25,62.25,43.78,140.91,-2.04,90.25,2,1,2,2,0,8,risk_on,-0.13,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.37, VIX 19.5"
2026-04-22,18.92,17.29,0.914,4.294,435.26,98.59,86.74,80.5,37.6,129.4,63.38,43.46,140.84,-1.83,90.56,2,1,2,2,0,8,risk_on,0.04,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.50, VIX 18.9"
2026-04-23,19.31,18.04,0.934,4.323,431.04,98.77,86.55,80.37,36.96,134.72,62.35,43.96,139.59,-6.38,86.97,2,1,2,2,0,8,risk_on,0.02,contango,elevated,negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.37, VIX 19.3"
2026-04-24,18.71,16.71,0.893,4.31,433.25,98.53,86.71,80.48,36.94,132.4,63.74,43.83,139.08,6.75,87.4,2,1,2,2,0,8,risk_on,-0.17,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.48, VIX 18.7"
2026-04-27,18.02,16.69,0.926,4.336,429.89,98.5,86.28,80.51,36.93,134.72,63.64,43.49,139.64,4.48,87.56,2,1,2,2,0,8,risk_on,-0.14,contango,elevated,mildly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.51, VIX 18.0"
2026-04-28,17.83,16.69,0.936,4.354,421.91,98.64,86.37,80.4,36.24,139.6,62.99,43.91,138.16,-5.1,79.16,2,1,2,2,0,8,risk_on,0.03,contango,elevated,negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.40, VIX 17.8"
2026-04-29,18.81,17.61,0.936,4.418,417.41,98.96,85.7,80.13,35.97,150.63,62.69,43.64,141.88,-6.28,77.59,2,1,2,2,0,8,risk_on,-0.37,contango,elevated,negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.13, VIX 18.8"
2026-04-30,16.89,14.37,0.851,4.39,423.66,98.06,85.62,80.38,36.53,147.09,63.99,44.4,143.33,9.98,80.62,2,3,2,2,0,8,risk_on,0.01,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.38, VIX 16.9"
2026-05-01,16.99,14.15,0.833,4.378,423.18,98.16,85.61,80.06,36.23,142.8,64.13,44.32,141.38,2.63,79.1,2,3,2,2,0,8,risk_on,-0.42,contango,elevated,mildly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.06, VIX 17.0"
2026-05-04,18.29,16.6,0.908,4.446,414.71,98.37,84.96,79.8,35.58,147.61,64.1,44.08,141.74,-2.89,71.95,2,1,2,2,0,8,risk_on,-0.71,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.80, VIX 18.3"
2026-05-05,17.38,14.64,0.842,4.416,418.27,98.44,85.43,79.92,36.33,144.17,65.4,44.17,138.74,8.18,72.09,2,3,2,2,0,8,risk_on,-0.48,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.92, VIX 17.4"
2026-05-06,17.39,14.76,0.849,4.356,430.96,98.02,86.08,80.16,37.54,133.95,67.49,44.74,135.42,9.98,75.83,2,3,2,2,0,8,risk_on,0.03,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.16, VIX 17.4"
2026-05-07,17.08,14.56,0.852,4.392,431.68,98.07,85.65,79.86,37.35,134.97,66.59,44.4,136.11,2.84,69.13,2,2,2,2,0,8,risk_on,-0.52,contango,elevated,mildly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.86, VIX 17.1"
2026-05-08,17.19,14.21,0.827,4.364,433.77,97.9,86.08,80.14,38.27,133.59,67.94,44.41,138.21,12.83,73.82,2,3,2,2,0,8,risk_on,0.08,contango,elevated,strongly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.14, VIX 17.2"
2026-05-11,18.38,16.89,0.919,4.41,434.65,97.96,85.56,79.98,39.39,138.66,67.89,44.57,140.21,6.7,80.52,2,1,2,2,0,8,risk_on,0.18,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.98, VIX 18.4"
2026-05-12,17.99,16.34,0.908,4.463,432.93,98.3,84.99,79.87,40.44,144.3,65.82,44.58,139.41,-1.31,76.09,2,2,2,2,0,8,risk_on,-0.05,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.87, VIX 18.0"
2026-05-14,17.26,15.14,0.877,4.461,427.21,98.82,84.92,79.85,40.02,143.0,67.38,43.91,139.32,11.86,82.03,2,2,2,2,0,8,risk_on,-0.31,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.85, VIX 17.3"
2026-05-18,17.82,16.86,0.946,4.623,418.43,99.19,83.56,79.54,38.4,149.29,64.97,43.75,138.4,-5.0,73.15,2,2,2,2,0,8,risk_on,-0.32,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.54, VIX 17.8"
2026-05-19,18.06,16.64,0.921,4.667,411.5,99.33,83.02,79.35,37.63,152.96,64.26,43.94,135.5,-7.85,67.57,2,2,2,2,0,8,risk_on,-0.79,contango,elevated,negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.35, VIX 18.1"
2026-05-21,16.76,14.08,0.84,4.586,416.99,99.26,84.22,79.9,38.58,142.54,66.03,44.5,136.96,6.63,67.52,2,3,2,2,0,8,risk_on,-0.08,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.90, VIX 16.8"
2026-05-22,16.7,14.07,0.843,4.558,413.82,99.24,84.68,79.91,38.92,140.92,65.88,44.56,137.39,13.28,71.84,2,3,2,2,0,8,risk_on,0.04,contango,elevated,strongly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.91, VIX 16.7"
2026-05-26,17.01,14.84,0.872,4.493,414.0,99.17,85.1,80.18,39.03,137.0,68.4,44.71,139.04,11.35,71.48,2,1,2,2,0,8,risk_on,0.33,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.18, VIX 17.0"
2026-05-27,17.01,13.27,0.78,4.481,408.49,99.21,85.3,80.13,38.48,131.03,68.39,44.63,138.57,11.37,65.84,2,3,2,2,0,8,risk_on,0.59,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.13, VIX 17.0"
2026-05-28,15.74,12.98,0.825,4.455,412.77,99.02,85.74,80.23,39.06,130.78,68.61,44.41,139.52,12.02,71.16,2,3,2,2,0,8,risk_on,0.88,contango,elevated,strongly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.23, VIX 15.7"
2026-05-29,15.32,12.59,0.822,4.453,417.12,98.91,85.76,80.31,38.86,129.09,68.6,43.99,144.18,10.09,68.77,2,3,2,2,0,8,risk_on,0.41,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.31, VIX 15.3"
2026-06-01,16.05,13.76,0.857,4.475,411.26,99.2,85.47,79.84,39.96,135.5,70.08,43.27,142.46,7.08,69.0,2,3,2,2,0,8,risk_on,-0.07,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.84, VIX 16.1"
2026-06-02,15.77,13.19,0.836,4.455,411.95,99.22,85.65,79.9,40.6,137.27,70.8,43.49,143.24,10.76,71.17,2,3,2,2,0,8,risk_on,-0.28,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.90, VIX 15.8"
2026-06-03,16.06,13.41,0.835,4.491,407.87,99.53,85.31,79.68,39.42,140.86,69.92,43.51,136.86,-3.6,61.53,2,3,2,2,0,8,risk_on,-0.45,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.68, VIX 16.1"
2026-06-04,15.4,12.65,0.821,4.477,411.27,99.41,85.5,79.83,39.73,136.74,69.1,44.4,142.15,7.0,59.15,2,3,2,2,0,8,risk_on,-0.4,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.83, VIX 15.4"
2026-06-05,21.51,23.92,1.112,4.536,396.24,100.07,85.06,79.43,38.08,133.02,64.59,44.7,152.25,-12.8,48.63,2,0,0,2,1,6.0,risk_on,-0.88,contango,panic_buy,deeply_negative,STRONG_BUY,False,,"STRONG_BUY — composite +6.0/8, HYG $79.43, VIX 21.5"
2026-06-08,18.92,19.69,1.041,4.552,397.27,100.05,84.62,79.54,38.55,135.15,65.75,44.03,145.0,-8.7,50.47,2,1,0,2,0,6.2,risk_on,-0.3,contango,elevated,negative,BUY_WATCH,False,,"BUY_WATCH — composite +6.2/8, HYG $79.54, VIX 18.9"
2026-06-09,19.87,22.14,1.114,4.528,390.78,99.91,85.12,79.62,38.6,131.3,65.82,44.97,141.97,-13.2,52.88,2,1,2,2,0,8,risk_on,-0.28,contango,elevated,deeply_negative,BUY_WATCH,False,,"BUY_WATCH — composite +8.0/8, HYG $79.62, VIX 19.9"
2026-06-10,22.22,25.67,1.155,4.542,374.58,99.95,84.88,79.47,37.72,134.3,64.66,44.99,143.08,-18.8,37.19,2,-1,1,2,0,4.8,mild_risk_on,-0.21,contango,elevated,extremely_negative,STRONG_BUY,False,,"STRONG_BUY — composite +4.8/8, HYG $79.47, VIX 22.2"
2026-06-11,19.44,20.66,1.063,4.463,386.32,99.86,85.98,79.94,38.94,128.83,67.5,44.92,142.98,-2.2,46.58,2,1,2,2,0,8,risk_on,0.11,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.94, VIX 19.4"
2026-06-12,17.68,17.26,0.976,4.487,386.54,99.75,85.77,79.94,39.55,125.43,67.88,45.36,142.6,-1.5,47.36,2,1,2,2,0,8,risk_on,0.51,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.94, VIX 17.7"
2026-06-15,16.2,15.58,0.962,4.469,396.55,99.63,85.72,80.04,39.65,121.21,69.75,44.99,144.32,8.8,52.59,2,3,2,2,0,8,risk_on,0.5,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.04, VIX 16.2"
2026-06-16,16.41,15.77,0.961,4.428,397.63,99.54,86.19,80.03,39.55,115.47,68.64,45.1,142.66,-3.8,49.92,2,3,2,2,0,8,risk_on,0.41,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.03, VIX 16.4"
2026-06-17,18.44,18.63,1.01,4.463,388.6,100.09,86.33,79.73,38.64,114.23,68.56,43.97,142.62,-9.8,42.54,2,1,0,2,0,6.2,risk_on,0.26,contango,elevated,negative,BUY_WATCH,False,,"BUY_WATCH — composite +6.2/8, HYG $79.73, VIX 18.4"
2026-06-18,16.4,13.93,0.849,4.451,387.12,100.85,86.75,80.01,38.86,114.87,70.79,43.86,146.72,-3.1,44.89,2,3,0,2,0,8,risk_on,0.07,contango,elevated,mildly_negative,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $80.01, VIX 16.4"
2026-06-19,16.78,,,4.451,,100.85,,,,,,,146.72,-1.4,44.89,1,2,0,0,0,3.9,mild_risk_on,,contango,elevated,mildly_negative,HOLD,False,,"HOLD — composite +3.9/8, HYG N/A, VIX 16.8"
2026-06-22,17.28,16.29,0.943,4.509,384.59,101.02,86.09,79.94,38.81,112.69,71.21,44.02,141.85,-7.5,42.6,2,1,0,2,0,6.2,risk_on,-0.1,contango,elevated,negative,BUY_WATCH,False,,"BUY_WATCH — composite +6.2/8, HYG $79.94, VIX 17.3"
2026-06-23,19.49,19.47,0.999,4.493,377.32,101.41,86.2,79.87,37.32,111.26,67.17,44.64,143.14,-12.8,37.67,2,1,0,2,0,6.2,risk_on,-0.16,contango,elevated,deeply_negative,STRONG_BUY,False,,"STRONG_BUY — composite +6.2/8, HYG $79.87, VIX 19.5"
2026-06-24,18.63,18.07,0.97,4.402,365.92,101.61,87.38,79.85,36.31,106.29,67.25,44.51,145.3,-7.1,39.54,2,1,0,2,0,6.2,risk_on,0.12,contango,elevated,negative,BUY_WATCH,False,,"BUY_WATCH — composite +6.2/8, HYG $79.85, VIX 18.6"
2026-06-25,18.89,17.92,0.949,4.392,369.46,101.43,87.35,79.88,36.98,109.31,67.96,44.59,139.89,-9.8,38.44,2,1,0,2,0,6.2,risk_on,-0.13,contango,elevated,negative,BUY_WATCH,False,,"BUY_WATCH — composite +6.2/8, HYG $79.88, VIX 18.9"
2026-06-26,18.41,16.8,0.913,4.372,373.63,101.36,87.36,79.83,37.33,105.48,67.19,45.24,139.4,-11.8,44.93,2,1,0,2,0,6.2,risk_on,,contango,elevated,deeply_negative,STRONG_BUY,False,,"STRONG_BUY — composite +6.2/8, HYG $79.83, VIX 18.4"
2026-06-29,17.65,15.51,0.879,4.374,368.58,101.11,87.45,80.01,37.23,107.08,67.43,44.92,144.46,0.1154,50.94,2,1,0,2,0,6.2,risk_on,0.07,contango,elevated,mildly_positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +6.2/8, HYG $80.01, VIX 17.6"
2026-06-30,16.45,13.73,0.835,4.418,368.38,101.19,86.42,79.97,37.73,106.44,68.41,44.03,149.6,6.1,54.94,2,3,0,2,0,8,risk_on,0.1,contango,elevated,positive,STRONG_HOLD,False,,"STRONG_HOLD — composite +8.0/8, HYG $79.97, VIX 16.4"
